216.244.66.230 - - [14/Oct/2019:07:46:15 +0200] "GET /index HTTP/1.1" 404 19908 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2.183.214.151 - - [14/Oct/2019:07:57:22 +0200] "GET / HTTP/1.1" 301 515 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
46.172.9.83 - - [14/Oct/2019:08:00:17 +0200] "GET / HTTP/1.1" 301 515 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
207.46.13.234 - - [14/Oct/2019:08:15:29 +0200] "GET / HTTP/1.1" 301 583 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
37.134.202.38 - - [14/Oct/2019:08:30:03 +0200] "GET / HTTP/1.1" 200 13875 "-" "python-requests/2.12.4"
37.134.202.38 - - [14/Oct/2019:08:30:04 +0200] "\n" 400 3245 "-" "-"
37.134.202.38 - - [14/Oct/2019:08:30:04 +0200] "\n" 400 3245 "-" "-"
157.55.39.171 - - [14/Oct/2019:08:36:18 +0200] "GET /robots.txt HTTP/1.1" 404 20500 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.171 - - [14/Oct/2019:08:36:21 +0200] "GET /robots.txt HTTP/1.1" 404 20516 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.7 - - [14/Oct/2019:08:36:34 +0200] "GET / HTTP/1.1" 200 14314 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
46.229.168.151 - - [14/Oct/2019:08:40:22 +0200] "GET /robots.txt HTTP/1.1" 404 19791 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
46.229.168.151 - - [14/Oct/2019:08:40:24 +0200] "GET /terms HTTP/1.1" 200 18004 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
157.55.39.31 - - [14/Oct/2019:08:46:59 +0200] "GET /robots.txt HTTP/1.1" 404 20500 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.151 - - [14/Oct/2019:08:47:02 +0200] "GET / HTTP/1.1" 200 14311 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
24.45.177.130 - - [14/Oct/2019:08:50:21 +0200] "POST /editBlackAndWhiteList HTTP/1.1" 301 576 "-" "ApiTool"
140.246.120.3 - - [14/Oct/2019:08:51:39 +0200] "GET / HTTP/1.1" 301 571 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
140.246.120.3 - - [14/Oct/2019:08:51:39 +0200] "GET /robots.txt HTTP/1.1" 301 590 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
140.246.120.3 - - [14/Oct/2019:08:52:01 +0200] "GET / HTTP/1.1" 301 571 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)"
140.246.120.3 - - [14/Oct/2019:08:52:02 +0200] "GET /l.php HTTP/1.1" 301 580 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)"
140.246.120.3 - - [14/Oct/2019:08:52:03 +0200] "GET /phpinfo.php HTTP/1.1" 301 592 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)"
140.246.120.3 - - [14/Oct/2019:08:52:03 +0200] "GET /test.php HTTP/1.1" 301 586 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)"
140.246.120.3 - - [14/Oct/2019:08:52:50 +0200] "GET /webdav/ HTTP/1.1" 301 548 "-" "Mozilla/5.0"
140.246.120.3 - - [14/Oct/2019:08:52:54 +0200] "GET /java.php HTTP/1.1" 301 587 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
